-13,1,,,,,,,,,,,,,
-12,1,,,,,,,,,,,,,
-11,2,,,,,,,,,,,,,
,,,,48,2,,,,,,,,98,3
,,,,49,1,,,,,,,,99,4
,,,,50,3,,,,,,,,,
,,,,51,3,,,,,,,,,
,,,,53,1,,,,,,,,,
,,,,54,1,,,,,,,,,
,,,,55,1,,,,,,,,,
,,,,56,1,,,,,,,,,
,,,,58,1,,,,,,,,,
,,,,60,2,,,,,,,,,
,,,,61,3,,,,,,,,,
,,,,62,2,,,,,,,,,
,,,,63,2,,,,,,,,,
,,,,64,3,,,,,,,,,
,,,,65,2,,,,,,,,,
,,,,67,2,,,,,,,,,
,,,,68,2,,,,,,,,,
,,,,69,2,,,,,,,,,
,,,,71,2,,,,,,,,,
,,,,73,1,,,,,,,,,
,,,,74,3,,,,,,,,,
,,,,78,2,,,,,,,,,
,,,,80,1,,,,,,,,,
,,,,81,1,,,,,,,,,
,,,,82,2,,,,,,,,,
,,,,83,5,,,,,,,,,
,,,,87,2,,,,,,,,,
,,,,88,1,,,,,,,,,
,,,,90,1,,,,,,,,,
,,,,92,1,,,,,,,,,
,,,,94,1,,,,,,,,,
,,,,95,2,,,,,,,,,
,,,,97,3,,,,,,,,,
,,,,98,1,,,,,,,,,
